Marsji Language,,,,,
Top 1000 Core Words,,,,,
Dutch ? Marsji Edition,,,,,
Version 1.0,,,,,
,,,,,
,NL,,Marsji,,EN
906,vet,,buc,,fat
907,grijs,,disona,,grey
908,heet,,goca,,hot
909,karakter,,akajotona,,character
910,importeren,,kopea,,import
911,verliezen,,ivotti,,lose
912,berg,,roqiwio,,mountain
913,operatie,,ozajibeta,,operation
914,prijs,,afalui,,prize
915,risico,,ulosna,,risk
916,veilig,,fego,,safe
917,plotseling,,icesufa,,suddenly
918,pak,,fomisi,,suit
919,type,,hopat,,type
920,hout,,quzen,,wood
921,Oppervlakte,,gosia,,area
922,in slaap,,ahoten,,asleep
923,bad,,ekam,,bath
924,onzorgvuldig,,ekotizu,,careless
925,vertraging,,mesul,,delay
926,evenement,,nisowe,,event
927,voet,,bazoe,,foot
928,verbergen,,girona,,hide
929,ketting,,okone,,chain
930,Internationale,,kacucusoet,,international
931,bij elkaar passen,,ekarau,,match
932,nerveus,,oriboot,,nervous
933,jammer,,vocao,,pity
934,bewijzen,,ufabia,,prove
935,verhogen,,akicone,,raise
936,dicht,,okeqs,,shut
937,geur,,osetua,,smell
938,Rechtdoor,,ajemunun,,straight
939,handel,,efasee,,trade
940,verscheidenheid,,ukonoet,,variety
941,toegeven,,unone,,admit
942,bijwonen,,ojoton,,attend
943,Afdeling,,kileina,,branch
944,steenkool,,luli,,coal
945,bestaan ??uit,,ovuceata,,consist
946,verklaren,,urataet,,declare
947,exact,,obara,,exact
948,boer,,ikovet,,farmer
949,in plaats daarvan,,kijevin,,instead
950,jas,,laneun,,jacket
951,been,,orut,,leg
952,metaal,,iromea,,metal
953,tegenover,,tupaqeun,,opposite
954,pond,,ovuzau,,pound
955,rollen,,uvatne,,roll
956,score,,fizuva,,score
957,schieten,,okapou,,shoot
958,toespraak,,izotu,,speech
959,toilet,,avetora,,toilet
960,van wie,,qaziv,,whose
961,houding,,ijinadet,,attitude
962,moedig,,ufabe,,brave
963,bevatten,,lavonun,,contain
964,twijfel,,ovane,,doubt
965,ervaring,,ibatusa,,experience
966,vlak,,ireqt,,flat
967,bewaker,,ocuju,,guard
968,zwaar,,golale,,heavy
969,in rekening brengen,,akajo,,charge
970,ijzer,,ifezs,,iron
971,geneesmiddel,,arunasote,,medicine
972,lawaai,,uvecae,,noise
973,politiek,,uvonoson,,politics
974,schenken,,viqii,,pour
975,stormloop,,pejao,,rush
976,glad,,asipona,,smooth
977,verspreiding,,fahoun,,spread
978,stel voor,,fikevin,,suggest
979,probleem,,hozori,,trouble
980,west,,qajea,,west
981,gemiddelde,,eqojain,,average
982,behoren,,irupo,,belong
983,zeker,,eroqiso,,certainly
984,misdrijf,,limava,,crime
985,plicht,,mecos,,duty
986,een van beide,,nacea,,either
987,mislukken,,bima,,fail
988,Gezondheid,,galiio,,health
989,invloed,,atutezun,,influence
990,leider,,erisen,,leader
991,meten,,ralabu,,measure
992,aanbod,,tigac,,offer
993,stapel,,visoi,,pile
994,beschouwen,,eromene,,regard
995,ruw,,piqone,,rough
996,serie,,fohoot,,series
997,Bederven,,azino,,spoil
998,plek,,ezuqi,,spot
999,dun,,ukazs,,thin
1000,stemmen,,cucoi,,vote
,,,,,
Language,,,,,
Meaning is Universal. Language is Merely the surface.,,,,,
? hzvidib dn pidqzmnvg gvibpvbz dn hzmzgt ocz npmavxz,,,,,
? Erozeun ih Utuboqu. Navobuo ih Uretuna ih Ucakeata.,,,,,
,,,,,
Same meaning. Three layers. Zero noise.,,,,,
marsji.com,,,,,
